ALB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
285001;Head of State;Ramiz Alia;1985;2012;2012;ST;Pig-headed Isolationist;Very High;ALB1;X
285002;Head of Government;Midhat Frashëri;1985;2012;2012;ST;Corporate Suit;Very High;ALB2;X
285003;Foreign Minister;?;1985;2012;2012;ST;Generic;Very High;unknown;X
285004;Minister of Armament;?;1985;2012;2012;ST;Generic;Very High;unknown;X
285005;Minister of Security;?;1985;2012;2012;ST;Generic;Very High;unknown;X
285006;Head of Military Intelligence;?;1985;2012;2012;ST;Generic;Very High;unknown;X
285007;Chief of Staff;?;1985;2012;2012;ST;Generic;Very High;unknown;X
285008;Chief of Army;?;1985;2012;2012;ST;Generic;Very High;unknown;X
285009;Chief of Navy;?;1985;2012;2012;ST;Generic;Very High;unknown;X
285010;Chief of Air Force;?;1985;2012;2012;ST;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
285011;Head of State;Sali Berisha;1985;2012;2012;SC;Autocratic Charmer;Very High;ALB3;X
285012;Head of Government;Fatos Nano;1985;2012;2012;SD;Naive Optimist;Very High;ALB4;X
285013;Foreign Minister;?;1985;2012;2012;SD;Generic;Very High;unknown;X
285014;Minister of Armament;?;1985;2012;2012;SD;Generic;Very High;unknown;X
285015;Minister of Security;?;1985;2012;2012;SD;Generic;Very High;unknown;X
285016;Head of Military Intelligence;?;1985;2012;2012;SD;Generic;Very High;unknown;X
285017;Chief of Staff;?;1985;2012;2012;SD;Generic;Very High;unknown;X
285018;Chief of Army;?;1985;2012;2012;SD;Generic;Very High;unknown;X
285019;Chief of Navy;?;1985;2012;2012;SD;Generic;Very High;unknown;X
285020;Chief of Air Force;?;1985;2012;2012;SD;Generic;Very High;unknown;X
