NZL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
215001;Head of State;HM Elizabeth II of Windsor;1985;2012;2012;SC;Popular Figurehead;Very High;UK1;X
215002;Head of Government;David Lange;1933;2012;2012;SL;Naive Optimist;Very High;NZL1;X
215003;Foreign Minister;David Lange;1933;2012;2012;SL;Biased Intellectual;Very High;NZL1;X
215004;Minister of Armament;Roger Douglas;1933;2012;2012;SL;Laissez-Faire Capitalist;Very High;NZL2;X
215005;Minister of Security;Geoffrey Palmer;1933;2012;2012;SL;Silent Lawyer;Very High;NZL3;X
215006;Head of Military Intelligence;Lin Smith;1933;2012;2012;ML;Dismal Enigma;Very High;unknown;X
215007;Chief of Staff;Ewan Jamieson;1933;2012;2012;ML;School of Manoeuvre;Very High;NLZ4;X
215008;Chief of Army;John Mace;1933;2012;2012;ML;Decisive Battle Doctrine;Very High;unknown;X
215009;Chief of Navy;Ewan Jamieson;1933;2012;2012;ML;Open Seas Doctrine;Very High;NLZ4;X
215010;Chief of Air Force;David Crooks;1933;2012;2012;ML;Naval Aviation Doctrine;Very High;unknown;X
;Replacements;;;;;;;;;X
215011;Head of State;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215012;Head of Government;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215013;Foreign Minister;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215014;Minister of Armament;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215015;Minister of Security;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215016;Head of Military Intelligence;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215017;Chief of Staff;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215018;Chief of Army;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215019;Chief of Navy;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
215020;Chief of Air Force;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
