SAU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
295001;Head of State;HM Fahd bin Abdul Aziz Al Saud;1984;2012;2012;NS;Autocratic Charmer;High;SAU1;X
295002;Head of Government;HM Fahd bin Abdul Aziz Al Saud;1984;2012;2012;NS;Smiling Oilman;High;SAU1;X
295003;Foreign Minister;Saud Al Faisal;1984;2012;2012;NS;Great Compromiser;High;SAU2;X
295004;Minister of Armament;Sultan bin Abdul-Aziz Al Saud;1984;2012;2012;NS;Air Superiority Proponent;High;SAU3;X
295005;Minister of Security;Nayef bin Abdul Aziz Al Saud;1984;2012;2012;NS;Prince of Terror;High;SAU4;X
295006;Head of Military Intelligence;Turki bin Faisal Al Saud;1984;2012;2012;NS;Political Specialist;High;SAU5;X
295007;Chief of Staff;Sultan bin Abdul-Aziz Al Saud;1984;2012;2012;NS;School of Fire Support;High;SAU3;X
295008;Chief of Army;Abdullah bin Abdul-Aziz Al Saud;1984;2012;2012;NS;Guns and Butter Doctrine;High;SAU6;X
295009;Chief of Navy;Sultan bin Abdul-Aziz Al Saud;1984;2012;2012;NS;Power Projection Doctrine;High;SAU3;X
295010;Chief of Air Force;Sultan bin Abdul-Aziz Al Saud;1984;2012;2012;NS;Air Superiority Doctrine;High;SAU3;X
